Ref,Val,Package,PosX,PosY,Rot,Side
"R174,""10k"",""R_0805_2012Metric"",179.858500,-112.941500,0.000000,top"
"R175,""154k"",""R_0805_2012Metric"",143.958500,-105.491500,90.000000,top"
"R176,""2,2k"",""R_0805_2012Metric"",188.108500,-112.941500,0.000000,top"
"R177,""510k"",""R_0805_2012Metric"",148.089750,-109.029000,90.000000,top"
"R178,""36k"",""R_0805_2012Metric"",146.039750,-109.041500,90.000000,top"
"SERVO1,""Conn_01x03_Socket"",""JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"",203.208500,-92.491500,180.000000,top"
"SERVO2,""Conn_01x03_Socket"",""JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"",194.008500,-92.491500,180.000000,top"
"SERVO3,""Conn_01x03_Socket"",""JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"",184.808500,-92.491500,180.000000,top"
"SERVO4,""Conn_01x03_Socket"",""JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"",175.608500,-92.491500,180.000000,top"
"U16,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",40.798500,-100.766500,0.000000,top"
"U19,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",40.798500,-114.491500,0.000000,top"
"U20,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",69.008500,-123.741500,0.000000,top"
"U25,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",48.208500,-114.491500,0.000000,top"
"U26,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",48.208500,-119.066500,0.000000,top"
"U27,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",55.618500,-96.191500,0.000000,top"
"U29,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",55.618500,-105.341500,0.000000,top"
"U31,""AP64501SP-13"",""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias"",155.751000,-115.346500,0.000000,top"
"U33,""AP64501SP-13"",""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias"",155.792250,-102.496500,0.000000,top"
"U34,""AP64501SP-13"",""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias"",144.858500,-96.491500,180.000000,top"
"U35,""AP22815AWU"",""SOT-23-6"",174.458500,-147.441500,90.000000,top"
"U36,""LTC3119EFE_PBF"",""SOP65P640X120-29N"",122.858500,-102.241500,0.000000,top"
"U39,""LTC3119EFE_PBF"",""SOP65P640X120-29N"",140.808500,-113.041500,180.000000,top"
"U40,""AP22815AWU"",""SOT-23-6"",181.358500,-147.491500,90.000000,top"
"U41,""AP22815AWU"",""SOT-23-6"",188.258500,-147.504000,90.000000,top"
"U42,""AP22815AWU"",""SOT-23-6"",195.158500,-147.491500,90.000000,top"
"U43,""AP22815AWU"",""SOT-23-6"",202.058500,-147.491500,90.000000,top"
"U44,""AP22815AWU"",""SOT-23-6"",208.958500,-147.491500,90.000000,top"
"U48,""TMC2240_SILENTSTEPSTICK"",""TMC2209"",103.708500,-140.149000,0.000000,top"
"U49,""TMC2240_SILENTSTEPSTICK"",""TMC2209"",122.458500,-140.149000,0.000000,top"
"U50,""TMC2240_SILENTSTEPSTICK"",""TMC2209"",141.061000,-140.149000,0.000000,top"
"U51,""TMC2240_SILENTSTEPSTICK"",""TMC2209"",159.628500,-140.139000,0.000000,top"
"U52,""TB6612FNG"",""SSOP-24_5.3x8.2mm_P0.65mm"",115.958500,-116.941500,0.000000,top"
"C22,""1uf"",""C_0805_2012Metric"",100.008500,-135.941500,180.000000,bottom"
"C24,""1uf"",""C_0805_2012Metric"",122.758500,-130.041500,90.000000,bottom"
"C26,""1uf"",""C_0805_2012Metric"",162.908500,-135.991500,180.000000,bottom"
"C28,""1uf"",""C_0805_2012Metric"",137.908500,-135.991500,0.000000,bottom"
"C32,""1uf"",""C_0805_2012Metric"",182.808500,-106.300000,-0.000000,bottom"
"C33,""1uf"",""C_0805_2012Metric"",173.300000,-106.100000,-0.000000,bottom"
"C36,""1uf"",""C_0805_2012Metric"",191.900000,-106.250000,-0.000000,bottom"
"C37,""1uf"",""C_0805_2012Metric"",201.050000,-106.200000,-0.000000,bottom"
"C74,""4,7uf"",""C_0805_2012Metric"",125.000000,-108.640000,180.000000,bottom"
"C76,""4,7uf"",""C_0805_2012Metric"",125.000000,-110.620000,180.000000,bottom"
"C114,""4,7uf"",""C_0805_2012Metric"",125.000000,-112.640000,180.000000,bottom"
"C115,""4,7uf"",""C_0805_2012Metric"",125.000000,-114.650000,180.000000,bottom"
"C147,""4,7uf"",""C_0805_2012Metric"",114.900000,-107.200000,180.000000,bottom"
"C148,""4,7uf"",""C_0805_2012Metric"",118.350000,-107.200000,-0.000000,bottom"
"C149,""4,7uf"",""C_0805_2012Metric"",118.350000,-105.200000,-0.000000,bottom"
"C150,""4,7uf"",""C_0805_2012Metric"",114.900000,-105.200000,180.000000,bottom"
"C156,""4,7uf"",""C_0805_2012Metric"",145.100000,-118.050000,180.000000,bottom"
"C157,""4,7uf"",""C_0805_2012Metric"",145.100000,-116.050000,180.000000,bottom"
"C158,""4,7uf"",""C_0805_2012Metric"",148.500000,-118.040000,-0.000000,bottom"
"C159,""4,7uf"",""C_0805_2012Metric"",148.500000,-116.040000,-0.000000,bottom"
"L3,""HCM0703-3R3-R"",""L_KOHERelec_MDA7030"",135.908500,-105.641500,-90.000000,bottom"
"L6,""HCM0703-3R3-R"",""L_KOHERelec_MDA7030"",122.858500,-93.491500,180.000000,bottom"
