Ref,Val,Package,PosX,PosY,Rot,Side
"R126,""2.2K 1%"",""R_0805_2012Metric"",266.000000,-227.000000,-0.000000,bottom"
"R127,""2.2K 1%"",""R_0805_2012Metric"",267.000000,-230.000000,-0.000000,bottom"
"R128,""2.2K 1%"",""R_0805_2012Metric"",267.000000,-224.000000,-0.000000,bottom"
"R129,""2.2K 1%"",""R_0805_2012Metric"",265.000000,-233.000000,-0.000000,bottom"
"R130,""2.2K 1%"",""R_0805_2012Metric"",270.000000,-215.000000,-0.000000,bottom"
"R131,""2.2K 1%"",""R_0805_2012Metric"",264.000000,-240.000000,-0.000000,bottom"
"R132,""2.2K 1%"",""R_0805_2012Metric"",264.000000,-247.000000,-0.000000,bottom"
"R133,""2.2K 1%"",""R_0805_2012Metric"",262.000000,-230.000000,-0.000000,bottom"
"R134,""2.2K 1%"",""R_0805_2012Metric"",269.000000,-246.000000,-0.000000,bottom"
"R135,""2.2K 1%"",""R_0805_2012Metric"",264.000000,-265.000000,-0.000000,bottom"
"R136,""2.2K 1%"",""R_0805_2012Metric"",269.000000,-261.000000,-0.000000,bottom"
"R137,""2.2K 1%"",""R_0805_2012Metric"",264.000000,-262.000000,-0.000000,bottom"
"R138,""2.2K 1%"",""R_0805_2012Metric"",265.000000,-268.000000,-0.000000,bottom"
"R139,""2.2K 1%"",""R_0805_2012Metric"",264.000000,-259.000000,-0.000000,bottom"
"R140,""2.2K 1%"",""R_0805_2012Metric"",269.000000,-258.000000,-0.000000,bottom"
"R141,""2.2K 1%"",""R_0805_2012Metric"",269.000000,-264.000000,-0.000000,bottom"
"R142,""2.2K 1%"",""R_0805_2012Metric"",275.000000,-258.000000,-0.000000,bottom"
"R143,""2.2K 1%"",""R_0805_2012Metric"",275.000000,-261.000000,-0.000000,bottom"
"R144,""2.2K 1%"",""R_0805_2012Metric"",284.000000,-249.000000,-0.000000,bottom"
"SW1,""Right angle Tact button"",""SW_Tactile_SPST_Angled_PTS645Vx58-2LFS"",203.410000,-210.466750,-90.000000,bottom"
"U2,""TS5A23157DGSR"",""SOP50P490X110-10N"",318.000000,-200.000000,-0.000000,bottom"
"U6,""AP22653W6"",""SOT-23-6"",219.000000,-275.000000,-0.000000,bottom"
"U8,""FSUSB42MUX"",""MSOP-10_3x3mm_P0.5mm"",247.000000,-265.000000,-0.000000,bottom"
"U9,""AP22653W6"",""SOT-23-6"",260.000000,-271.000000,-0.000000,bottom"
"U10,""TPD4EUSB30"",""USON-10_2.5x1.0mm_P0.5mm"",313.000000,-281.000000,-0.000000,bottom"
"U11,""USB2514B-I/M2"",""QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm"",258.000000,-285.000000,-0.000000,bottom"
"U12,""TPD4EUSB30"",""USON-10_2.5x1.0mm_P0.5mm"",298.000000,-265.000000,-0.000000,bottom"
"U13,""FSUSB42MUX"",""MSOP-10_3x3mm_P0.5mm"",266.000000,-287.000000,-0.000000,bottom"
"U14,""TPD4EUSB30"",""USON-10_2.5x1.0mm_P0.5mm"",325.000000,-284.000000,-0.000000,bottom"
"U15,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",336.000000,-230.000000,-0.000000,bottom"
"U16,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",267.000000,-211.000000,-0.000000,bottom"
"U17,""INA226"",""VSSOP-10_3x3mm_P0.5mm"",260.000000,-212.000000,-0.000000,bottom"
