"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"R104,R105,R120","47k","~","Resistor_SMD:R_0805_2012Metric","3","","82","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R106,R107","1.5-kΩ","~","Resistor_SMD:R_0805_2012Metric","2","","83","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R108","22","~","Resistor_SMD:R_0805_2012Metric","1","","84","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R109","22Ω","~","Resistor_SMD:R_0805_2012Metric","1","","85","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R110","1M","~","Resistor_SMD:R_0805_2012Metric","1","","86","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R111,R112","16","~","Resistor_SMD:R_0805_2012Metric","2","","87","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R115,R116,R117,R118,R119","10K","~","Resistor_SMD:R_0805_2012Metric","5","","88","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R160,R175","154k","~","Resistor_SMD:R_0805_2012Metric","2","","89","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R161,R178","36k","~","Resistor_SMD:R_0805_2012Metric","2","","90","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R162,R177","510k","~","Resistor_SMD:R_0805_2012Metric","2","","91","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R164,R176","2,2k","~","Resistor_SMD:R_0805_2012Metric","2","","92","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R165,R173","34,8k","~","Resistor_SMD:R_0805_2012Metric","2","","93","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R166,R169,R170,R171,R172","47k","~","Resistor_SMD:R_0805_2012Metric","5","","94","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"SERVO1,SERVO2,SERVO3,SERVO4","Conn_01x03_Socket","~","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","4","","95","","","","","","","Generic connector, single row, 01x03, script generated","","","","","","","","","","","","","","","","",""
"SPEAKER1","Conn_01x02_Pin","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","","96","","","","","","","Generic connector, single row, 01x02, script generated","","","","","","","","","","","","","","","","",""
"SPI1,SPI2,SPI3,SPI4","Conn_01x06_Socket","~","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","4","","97","","","","","","","Generic connector, single row, 01x06, script generated","","","","","","","","","","","","","","","","",""
"SW1","Right angle Tact button","https://www.mouser.co.uk/datasheet/2/240/Littelfuse-3050591.pdf","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","1","","98","","PTS645VH58-2LFS","PTS645VH58-2LFS","CK","","Right angle through hole Tact switch","Push button switch, generic, two pins","","","","","","","","","","","","","","","","",""
"SW2,SW3,SW4","SW_Push","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3","","99","","","","","","","Push button switch, generic, two pins","","","","","","","","","","","","","","","","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP12,TP13,TP16","TestPoint","~","TestPoint:TestPoint_Pad_D2.0mm","12","","100","","","","","","","test point","","","","","","","","","","","","","","","","",""
"U1","AP22653W6","https://www.diodes.com/assets/Datasheets/AP255x.pdf","Package_TO_SOT_SMD:SOT-23-6","1","","101","Digikey","31-AP22653W6-7CT-ND","AP22653W6","Diodes","","Power Switch/Driver 1:1 P-Channel 2.1A SOT-23-6","","","","","","","","","","","","","","","","","",""
"U2","RT9742SNGV","https://www.richtek.com/assets/product_file/RT9742/DS9742-10.pdf","Package_TO_SOT_SMD:TSOT-23","1","","102","Farnell","2575555","RT9742SNGV","RichTek","USWI00155","Power Switch/Driver 1:1 N-Channel 500mA SOT-23-3","","","","","","","","","","","","","","","","","",""
"U3","74LVC1G07SE-7","https://www.diodes.com/assets/Datasheets/74LVC1G07.pdf","Package_TO_SOT_SMD:SOT-353_SC-70-5","1","","103","Farnell","2425492","74LVC1G07SE-7","Diodes","","Buffer, Non-Inverting 1 Element 1 Bit per Element Open Drain Output SOT-353","","","","","","","","","","","","","","","","","",""
"U4,U5,U10,U12,U14","TPD4EUSB30","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","Package_SON:USON-10_2.5x1.0mm_P0.5mm","5","","104","Farnell","2335455","CDDFN10-3324P-13","Bourns","UDIO00346","Quad TVS diode for high speed signals (USB3, GigE etc.)","","","","","","","","","","","","","","","","","",""
"U6","BQ24650","https://www.ti.com/lit/ds/symlink/bq24650.pdf","Package_DFN_QFN:Texas_RVA_VQFN-16-1EP_3.5x3.5mm_P0.5mm_EP2.14x2.14mm_ThermalVias","1","","105","","","","","","","10A, 28V max voltage, Battery Charger w/600kHz NMOS-NMOS Synchronous Buck Converter for Solar, VQFN-16","","","","","","","","","","","","","","","","",""
"U7","ASEK-32.768KHZ-L-R-T","https://abracon.com/Oscillators/ASEK.pdf","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","106","","ASEK-32.768KHZ-L-R-T","ASEK-32.768KHZ-L-R-T","abracon","","32KHz Xtal oscilator","","","","","","","","","","","","","","","","","",""
